Ligand,Binding Affinity,rmsd/ub, rmsd/lb
refine_model252_ZINC00001411_uff_E=106.81,-5.4,0.0,0.0
refine_model252_ZINC00001504_uff_E=87.25,-4.7,0.0,0.0
refine_model252_ZINC00001785_uff_E=216.22,-6.6,0.0,0.0
refine_model252_ZINC00001969_uff_E=254.97,-5.1,0.0,0.0
refine_model252_ZINC00002054_uff_E=87.66,-5.0,0.0,0.0
refine_model252_ZINC00006256_uff_E=360.26,-6.0,0.0,0.0
refine_model252_ZINC00013245_uff_E=64.15,-4.6,0.0,0.0
refine_model252_ZINC00013246_uff_E=69.50,-5.0,0.0,0.0
refine_model252_ZINC00035525_uff_E=518.02,-5.1,0.0,0.0
refine_model252_ZINC00035526_uff_E=610.46,-6.0,0.0,0.0
refine_model252_ZINC00039811_uff_E=82.58,-5.7,0.0,0.0
refine_model252_ZINC00056792_uff_E=495.59,-4.8,0.0,0.0
refine_model252_ZINC00057384_uff_E=242.16,-7.0,0.0,0.0
refine_model252_ZINC00057731_uff_E=408.56,-5.4,0.0,0.0
refine_model252_ZINC00057733_uff_E=120.51,-5.8,0.0,0.0
refine_model252_ZINC00058187_uff_E=127.36,-5.1,0.0,0.0
refine_model252_ZINC00058188_uff_E=599.89,-6.7,0.0,0.0
refine_model252_ZINC00086470_uff_E=292.88,-5.7,0.0,0.0
refine_model252_ZINC00113319_uff_E=446.92,-5.0,0.0,0.0
refine_model252_ZINC00113319_uff_E=477.92,-5.0,0.0,0.0
refine_model252_ZINC00119983_uff_E=215.72,-6.5,0.0,0.0
refine_model252_ZINC00119988_uff_E=229.27,-6.5,0.0,0.0
refine_model252_ZINC00120276_uff_E=133.22,-5.8,0.0,0.0
refine_model252_ZINC00120283_uff_E=319.57,-5.8,0.0,0.0
refine_model252_ZINC00134782_uff_E=532.92,-6.5,0.0,0.0
refine_model252_ZINC00135449_uff_E=422.33,-4.7,0.0,0.0
refine_model252_ZINC00152926_uff_E=103.85,-4.4,0.0,0.0
refine_model252_ZINC00265517_uff_E=413.93,-5.5,0.0,0.0
refine_model252_ZINC00607790_uff_E=689.47,-4.5,0.0,0.0
refine_model252_ZINC00607911_uff_E=450.25,-3.7,0.0,0.0
refine_model252_ZINC00608186_uff_E=457.76,-6.0,0.0,0.0
refine_model252_ZINC00689728_uff_E=387.85,-6.2,0.0,0.0
refine_model252_ZINC00828203_uff_E=648.50,-5.7,0.0,0.0
refine_model252_ZINC00898052_uff_E=434.19,-5.5,0.0,0.0
refine_model252_ZINC00898100_uff_E=451.91,-6.3,0.0,0.0
refine_model252_ZINC00898806_uff_E=441.88,-6.6,0.0,0.0
refine_model252_ZINC00900117_uff_E=142.76,-6.5,0.0,0.0
refine_model252_ZINC00900182_uff_E=663.20,-5.5,0.0,0.0
refine_model252_ZINC00900216_uff_E=456.53,-5.3,0.0,0.0
refine_model252_ZINC00900237_uff_E=579.91,-5.8,0.0,0.0
refine_model252_ZINC00900904_uff_E=624.26,-5.8,0.0,0.0
refine_model252_ZINC01529208_uff_E=58.59,-5.0,0.0,0.0
refine_model252_ZINC01530009_uff_E=368.20,-7.1,0.0,0.0
refine_model252_ZINC01530331_uff_E=64.33,-5.1,0.0,0.0
refine_model252_ZINC01530775_uff_E=260.44,-7.0,0.0,0.0
refine_model252_ZINC01532860_uff_E=113.17,-6.4,0.0,0.0
refine_model252_ZINC01535009_uff_E=264.37,-6.5,0.0,0.0
refine_model252_ZINC01597393_uff_E=713.80,-6.8,0.0,0.0
refine_model252_ZINC01618678_uff_E=539.07,-6.5,0.0,0.0
refine_model252_ZINC01635104_uff_E=576.17,-5.5,0.0,0.0
refine_model252_ZINC01642327_uff_E=409.16,-6.6,0.0,0.0
refine_model252_ZINC01651170_uff_E=410.54,-6.9,0.0,0.0
refine_model252_ZINC01663392_uff_E=325.31,-6.1,0.0,0.0
refine_model252_ZINC01663628_uff_E=340.48,-5.9,0.0,0.0
refine_model252_ZINC01663629_uff_E=252.58,-6.2,0.0,0.0
refine_model252_ZINC01663630_uff_E=905.17,-5.9,0.0,0.0
refine_model252_ZINC01663631_uff_E=338.85,-6.1,0.0,0.0
refine_model252_ZINC01684797_uff_E=393.87,-5.1,0.0,0.0
refine_model252_ZINC01697403_uff_E=43.65,-4.0,0.0,0.0
refine_model252_ZINC01721693_uff_E=218.02,-6.1,0.0,0.0
